Meisterzählung,D,A,B,C,E,F,G,W,Notizen
4105,,,,'wanne h'' zu der meide reine',,,,,
4106,20 ze Capharnaum cherte,bey Capharnavm cherte,,zu capharnaum j kerte,,,,,
4107,da er sin ivngere lerte,da er ſeine iunger lerte,,'da er sine iung''n lerte',,,,,
4108,uon meisterlichen sachen,,,,,,,,
4109,wie sie schölten machen,,,,,,,,
4110,die notuesten chiele 2955,,,,,,,,
4111,der chraft nien lihte ceuiele,,,,,,,,
4112,,zimbern grozze kyelen,,'ziinm''n groze kyle',,,,,
4113,,daz ſi niht zevielen,,daz si nicht zuvilen,,,,,
4114,,,,als di winstoke,,,,,
4115,,,,daran benen bozen,,,,,
4116,uf den hohen anden,,,uffe des mers unden,,,,,
4117,so die winde Unsitten begunden,,,,,,,,
4118,,,,den list er wolte künden,,,,,
4119,der alte brûtdegen,#rD+er vil alte proutdegen,,'d'' vil alt brutdegen',,,,,
4120,der was gewesen underwegen 2960,der waz geweſen vnder wegen,,was gewesen unter wegen,,,,,
4121, 25 drie manot vnd ein halbez iâr,drey manod v#and+ ein halbeſ iar ,,dri mande und ein halbiz iar,,,,,
4122,untzer gefrumet vil gar,vnz er bereite gar,,wanne er gefrumte vil gar,,,,,
4123,des in die herren baten,des in die furſten baten,,des in di furstc baten,,,,,
4124,die in geladet haten,die in geladet haten,,di in ge ladet hatten,,,,,
4125,darnah wart er des ennêin 2965,dar nach wart er des en ein,, dar nach wart er in ein,,,,,
4126,daz er fare wider heim,daz er f#suo+re wider haim,,'daz er füre wid'' heim',,,,,
4127,in die burch ze Nazaret,in die purk ze Nazareht,,in di burk zu nazareth,,,,,
4128,div mit grozzem lobe stet,div mit grozzem lobe ſtet,,di mit grozem lobe stet,,,,,
4129,in sente Marien gute ,in ſant mareien h+#suo+te,,in sant marien gute,,,,,
4130,dar truch in sin gemute 2970,dar tr#suo+k in ſein gem#sve+te,,dar truk in sin gemute,,,,,
4131,Sin hiwisch v div magedin,Sein #f44v+ geſinde v#and+ daz magedein ,,Sin gesinde und di megetin,,,,,
4132,hiezzen in willikomen sin,hiez in willechomen ſein,,di hi/en si willeku men sin,,,,,
4133,mit frolichem anpfange,,,,,,,,
4134,,er wart wol enpfangen,,er wart vil uuol enpfan(on,,,,,
4135,do stnnt ez anlange,do ſt#suo+nt ez vnlangen,,do stunt ez unlange,,,,,
4136,nutzer des wart inne 2975,vnz er des wart inne,,wanno er des wart innc,,,,,
4137,an der heren kunginne,an der kvniginne,,'an d'' kiinoginine',,,,,
4138,daz sie lebentigez kint truch,daz ſi ein lebendes kint truk,,daz si ein lebendingcz kint truc,,,,,
4139,do gewan er leides genueh,do gewan er laideſ gen#suo+k,,'do gewan h'' leides gnuc',,,,,
4140,harte wndert in daran,michel wund#aer+ in des nam ,,vil michel wunder in des nam,,,,,
4141,wie sie iemer dehein man 2980,wie ſei ſolde den hein man,,wi si I schölte dekeine man,,,,,
4142,schölte han uberkomen,immer haben vber chomen,,'imm'' habe üb kumen',,,,,
4143,div bi der spise was gezogen,div die ſpeiſe het genomen,,di bider spise wart gezogen,,,,,
4144,div ir in engelisker haut,div ire von himel was geſant,,di ur von himele wart gesant,,,,,
4145,uon himel wart gesant,in d#aer+ engliſc#ahen+ hant,,in der engelisschen hant,,,,,
4146,der uil einualte man 2985,der vil ainvalte man,,der vil einvaltig man,,,,,
4147,der hete uorhteu y wan,der hiet ſorge v#and+ wan,,hatte gedank und wan,,,,,
4148,daz sie mit böser sache,daz ſi mit boſer ſache,,daz si mit bösen sachen ,,,,,
4149,ze solhem ungemache,ze ſolhem vngemache weraten,,zu sulchen ungemachen,,,,,
4150,woere uerraten,,,were verraten,,,,,
4151,die fröen in alle baten 2990,die in alle paten,,di vrouwe in alle baten,,,,,
4152,daz er sih wol gehabete,daz er ſich wol gehabte,,daz er mezelich clagete,,,,,
4153,ν mazlichen chlagete,v#and+ mezlichen chlagte,,und sich wol gehabete,,,,,
4154,sie sageten ir uiischulde,Si ſagten ir vnſchulde,,si sagetö ur unschulde,,,,,
4155,ν swren bi gotes hulde,v#and+ ſw#suo+ren bey gotes hulde,,und swurn bi gotis hulde,,,,,
4156,div geistlichen wip 2995,,,di vil geistliche wip,,,,,
4157,butten sele ν lip,,,di buten sele und lip,,,,,
4158,daz nie man bechome,daz nie den hein man ,,daz nimant kome,,,,,
4159,zu der magede schone,chome z#svo+ der maget luſtſam,,zu der maget schone,,,,,
4160,mit neheinem ungeuerte,mit den hein#aen+ vngeverte,,mit keime ungeverte,,,,,
4161,noh sie des nie gegerte 3000,noch ſi des nie ge gerte,,noch si des ni begerte,,,,,
4162,daz sie über strazze gienge,daz ſi vber die ſtrazze gienge,,daz über die straze ginege,,,,,
4163,unde iemen da enpfienge,v#and+ iemen enpfienge,,und ie keine man enpfinge,,,,,
4164,siene mohten an ir niht wandels wizzen,,,,,,,,
4165,,oder ie geſpreche den hein wort,,oder ie gespreche kein wort,,,,,
4166,,wed#aer+ hie noch dort,,werer hie da oder dort,,,,,
4167,,ze den heinem werltlichem manne,,zu 1 keine werltliche manne,,,,,
4168,,von div oder danne,,daz si von danne,,,,,
4169,,ſi not ſolte lei#aden+,,not scholte liden,,,,,
4170,,ſi mohten an ir leibe,,si mocht euch an ir libe,,,,,
4171,,den hein wandel wizzen,,kein wandel wizen,,,,,
4172,wan sie haete sih geflizzen,ſi hiete ſich geflizzen,,si hette sich gevlizen,,,,,
4173,wol so tugentlicher güte 3005,#f45r+ vil tugentlich#aer+ g#sue+te ,,wol tugentlicher gute,,,,,
4174,daz sie ir eren gerne hâte,,,,,,,,
4175,ν sich selbe zaller stunde,,,,,,,,
4176,wol bewaren künde,,,,,,,,
4177,,ſi kvnde wol ſelbe beh#sue+ten,,si kondc sich selber wol gehutc,,,,,
4178,,ir ere manekvalde,,ir ercn manik valt,,,,,
4179,,mit dem gotes gewalte,,mit des üben gotis gewalt,,,,,
4180,Der grise mit dem barte,Der alte mit dem parte,,Der alte mit dem barte,,,,,
4181,begunde suften harte 3010,begunde ſevften harte,,begonde sufczon harte,,,,,
4182,sin ser γ sin nngemah,ſein ſere v#and+ ſein vngemach,,sin leit und sin ungcmach,,,,,
4183,ze den froen er clo sprah,z#svo+ den frowen er do sp#ara+ch,,zu den vrouwe er do sprach,,,,,
4184,durh got wes weit ir iehen?,,,,,,,,
4185,,was troſtes mvgt ir mir geiêhen,,waz trostes muget ir mir geben,,,,,
4186,ia meget ir selbe sehen,ia mvgt ir wol ſelbe ſehen,,ia muget ir [ selber wol sehen,,,,,
4187,daz sie kindes swanger ist 3015,daz ſi kindes ſwanger iſt ,,daz si kindes swanger ist,,,,,
4188,waz schol der uppìge list,warz#svo+ ſol d#aer+ liſt,,war zu sch ol der üppige list,,,,,
4189,daz ir mih so umbefûeret?,daz ir mich welt betriegen,,daz ir mich wollet trigen,,,,,
4190,ich lie sie unberûeret,,,,,,,,
4191,ν han sie grozze funden,,,,,,,,
4192,des bin ich mit leide gebunden3020,,,,,,,,
4193,owe mir dirre warheit,,,,,,,,
4194,hie schult ir min herzeleit,,,,,,,,
4195,,ia zaiget ez die wiege,,io be t\vinget si di wige,,,,,
4196,,nieman iſt ſo tumb#aer+,,nimant ist so tummer,,,,,
4197,,ſo alt noch ſo iunger,,so alt noch so junger,,,,,
4198,,er mvge die rehten warheit,,er enmuge di rechte warheit,,,,,
4199,,v#and+ min inrechlichez lait,,und min vil innenclichez leit,,,,,
4200,alle scöen vnde chiesen,wol ſchowen v#and+ kieſen,,wol schouwe und kisen,,,,,
4201,maeht ich nv uerliesen,moht ich nv v#aer+lieſen,,mochte ich nu verlisen,,,,,
4202,minen lip mit reliteu zugen 3025,mit reht#aen+ dingen minen leip ,,mit rechten dingen mine lip,,,,,
4203,e mich div litte belugen,,,,,,,,
4204,des duhte mich zit furware,,,,,,,,
4205,owi wan ich tot wäre,,,daz ich ] nu tot were,,,,,
4206,daz ich daz unsaelige leben,,,,,,,,
4207,mit eren hete begeôen 3030,,,,,,,,
4208,e mich begriffe diser schal,,,,,,,,
4209,der nn schière uert uberal,,,,,,,,
4210,uon miner ivncfröen,,,,,,,,
4211,als man beginnet scöen,,,,,,,,
4212,daz kint ioh die wiegen 3035,,,,,,,,
4213,molich ist div werlt zetriegen,,,,,,,,
4214,angestliche daz gerihte,,,,,,,,
4215,da zaller livte gesihte,,,,,,,,
4216,daz unreht wirt ernam,,,,,,,,
4217,wie mak ich daz iemer bewarn 3040,,,,,,,,
4218,,von herzen devhte mich deſ zeit,,,,,,,
4219,,wolte got min ſele nemen,,,,,,,
4220,,,,weite got in sine gnade,,,,,
4221,,,,mine sele wider nemen,,,,,
4222,,waz mag ich ze antwurte geben,,waz mac ich zu antwort geben,,,,,
4223,,,,de 1 unsern lichteren,,,,,
4224,,,,'di werdent uns gen''e',,,,,
4225,,ſo daz kint her fure gat,,so daz kint her wer gat,,,,,
4226,,daz ſin#aer+ #^æ+ niht enhat,,daz siner e nicht enhat,,,,,
4227,wir enmozzen da mit schänden,ſo m#sve+zze wir mit ſchanden,,so muze wir doch mit schänden,,,,,
4228,ersterben uon ir handen,,,,,,,,
4229,die uns gevserich sint beiden,,,,,,,,
4230,ez en ruche got scheiden,,,,,,,,
4231,anders denne ich waene 3045,,,,,,,,
4232,der mich ein die sorgen âne,,,,,,,,
4233,mit gewalte wol getaete,,,,,,,,
4234,'ob er min gnade haete?''',,,,,,,,
4235,,diſen leib ver anden,,disen lip verwandeln,,,,,
4236,,ſo ſi nv mit ſtein,,so si mit I den steinen,,,,,
4237,,zepolent vnſer gebeine,,zupoln unser geboino,,,,,
4238,,,,so müz mich rüwen di vart,,,,,
4239,,,,daz ich ie so alt wart,,,,,
4240,,daz m#sve+ze got erbarmen,,daz muze got erbarmen,,,,,
4241,,v#and+ helfe mir vil armen,,'der bezeige sine niilto an mir arme''',,,,,
4242,Die frôen sprachen im aue zu,#rD+ie frowen ſp#ara+chen im au#aer+ z#svo+,,Di vroiiwr spraclieu im aber zu,,,,,
4243,wir sagen dir waz tu tv 3050,wir ſagen dir herre waz dv t#suo+,,wir sagen dir herre waz tu scholt tu,,,,,
4244,habe herre uil gute reste,habe vil g#suo+te reſte,,hab vil gute resto,,,,,
4245,daz ist dir nu daz beste,daz iſt dir nv daz beſte,,daz ist dir nu daz beste,,,,,
4246,untze daz got din angest wende,,,,,,,,
4247,ν dir sinen trost sende?,,,,,,,,
4248,wand giengez uns an daz leben 3055,,,,,,,,
4249,so enmsehten wir dir geben,,,,,,,,
4250,nehêin ende mere,,,,,,,,
4251,wan daz der engil here,,,,,,,,
4252,der fr5en ofte erschein,,,,,,,,
4253,ν wrden ensamet ennêin 3060,,,,,,,,
4254,wir enwizzen welher tögen,,,,,,,,
4255,der rede ist unlògen ,,,,,,,,
4256,âne in so wart nie dehein man,,,,,,,,
4257,der sie ie broehte daran,,,,,,,,
4258,daz sie iender uon uns quame 3065,,,,,,,,
4259,ν iemans wort ueraseme,,,,,,,,
4260,der engil gesprah sie dicche,,,,,,,,
4261,ze sinem liehtem anplicke,,,,,,,,
4262,frote sih ie div gute,,,,,,,,
4263,mit reinestoetem mfite 3070,,,,,,,,
4264,niht anders han wir gesehen,,,,,,,,
4265,,,,wirf diu leit zuruke,,,,,
4266,,,,wanne got andir glukc,,,,,
4267,,,,siner barmunge,,,,,
4268,,,,wanne er di ledcguulge,,,,,
4269,,vnz dir got troſt welle geben,,mit sine tröste woltc geben,,,,,
4270,,v#and+ benêmeſt dv vnſ daz #f45v+ leben,,und nemstu uns al len daz leben,,,,,
4271,,wir mohten dir anders niht geſagen,,wir mugeu dir anders nicht gesagen],,,,,
4272,,daz eine m#suo+ſte wir v#aer+dag#aen+,,daz eine muzen wir vertragen,,,,,
4273,,daz ſey d#aer+ engel geſp#ara+ch,,daz si der engel bespriaeh,,,,,
4274,,den ſi mit frevden ane ſach,,den si mit vreude ansach,,,,,
4275,,vil diche v#and+ ofte,,dikc und ofte,,,,,
4276,,als ir daz wol tohte,,ab ur daz wol tochte,,,,,
4277,,des enwizze wir niht,,des enwizc wir nicht,,,,,
4278,,er waz ſchone v#and+ lieht,,er ist schiene und licht,,,,,
4279,,der warheit m#sve+zze wir iehen,,der warheit muzen wir iehen,,,,,
4280, swaz wnders hie ist geschehen,ſwaz halt wunders iſt geſchen,,waz hie Wunders ist geschehen,,,,,
4281,10 daz chumet non des engels rat,,,,,,,,
4282,'der sie ie besorget hat''',,,,,,,,
4283,,an d#aer+ prout luſſam ,,an der brüte lustsam,,,,,
4284,,daz hat der engel getan,,'daz hat der engel getan''',,,,,
4285,Ioseph der zurnete sere 3075,#rD+o zurnt er alſo ſere,,do zürnte er also sere,,,,,
4286,er sprah ichen wil niht mere,er ſprach ich wil niht mere,,er sprach ich wil nicht mere,,,,,
4287,uernemen ivwer kose,vernemen evr gek#soe+ſe,,vernemen euwer gek(Sse,,,,,
4288,ez was ein man bose,ez waz ein man b#soe+ſe,,ez was ein \ man böse,,,,,
4289,niht des engels rat,,,,,,,,
4290,der iveh betrogen hat 3080,der evch alle hat betrogen,,der uch alle hat betrogen,,,,,
4291,,er iſt von himel niht geflogen,,er was von himele nicht gevlogen,,,,,
4292,er kom geslichen uz der stete,,,er kom geslichen uz der stat,,,,,
4293,uon siner tumplicher bete,,,an sine tumpliche bete,,,,,
4294,15 hat sie ir mut uercheret,ze vbel hat ſich ir m#suo+t gewent,,hat si gewendet ir gelmute,,,,,
4295,'des sin wir gehonet ν geseret''',,,,,,,,
4296,,des wir alle nv geſchent,,,,,,,
4297,,,,des werden wir geleidet,,,,,
4298,,,,'und alle gescheidet''',,,,,
4299,Ioseph im gedahte 3085,#rI+oseph im gedahte,,Ioseph im gedachte,,,,,
4300,des in got wider brahte,des in got widerbrahte,,des in got wider brachte,,,,,
4301,daz er wolte entrinnen,daz er wolde entrinnen,,daz er wolte entrinnen,,,,,
4302,e sin div lîvte inne,#^æ+ ſein die levte innen,,e sin di lute inne,,,,,
4303,wrden allichen,wurden gemainlichen,,wurden alle gliche,,,,,
4304,er sprah er muse entwichen 3090,ſo wolte er entweichen,,'er sprach ''ich müz entwiche',,,,,
4305,20 durh des libes angest,,,durch des libes angest",,,,,
4306,untzer maehte langest,,,wanne er mochte langest,,,,,
4307,die mártir ufschîeben,,,di marter ufgezalten,,,,,
4308,die gotwerden ν die lieben,,,,,,,,
4309,mit al siner habe Wolter lan 3095,,,,,,,,
4310,daz duhte in baz getan,,,,,,,,
4311,denne ob er des erbitte,,,,,,,,
4312,daz er kumber mit ir litte,,,,,,,,
4313,wand ez unwendich muste sin,,,,,,,,
4314,25 do beiter untzedermsenschin 3100,,,,,,,,
4315,des nahtes ufgen begunde,,,,,,,,
4316,dabi er den wech funde,,,,,,,,
4317,so er sich erhübe,,,,,,,,
4318,sin ogen waren im trübe,,,,,,,,
4319,uon leides ν des alters swaere 3105,,,,,,,,
4320,wand über die gegende maere,,,,,,,,
4321,was sin galter nehêin,,,,,,,,
4322,als er des alles wart ennéin,,,,,,,,
4323,18630 mit im selben ν genote,,,,,,,,
4324,,durch den ſelben ruom,,,,,,,
4325,,ez weſſe niht anders zet#suo+n,,,,,,,
4326,,er wolt ſein g#suo+t lazzen,,,,,,,
4327,,,,di sine lit behalten,,,,,
4328,,,,daz wolt I er vvilleclichen tun,,,,,
4329,,,,er enkonde sinen wistum,,,,,
4330,,,,an nichte baz derzeigen,,,,,
4331,,,,lehen und eigen,,,,,
4332,,,,daz wlolte er alliz laze,,,,,
4333,,v#and+ varen ſeine ſtrazzen,,und kere sine straze,,,,,
4334,,da er ſicher mohte ſein,,da er silcher mochte gesin,,,,,
4335,,als #sov+f chome deſ manen ſchein,,,,,,,
4336,,,,arweite wanne daz manischin,,,,,
4337,,,,des nachtes uf errunne,,,,,
4338,,,,daz in gewisen künde ],,,,,
4339,,,,27 wanne er sich derhube,,,,,
4340,,,,di ougen warn im trübe ],,,,,
4341,,,,von der tage menige,,,,,
4342,,,,1290 in aller siner gegine,,,,,
4343,,,,29 was sin alter kein,,,,,
4344,,,,do er des alles wart in ein,,,,,
4345,,do er vil genote,,und vil I genote,,,,,
4346,sin sache geordinote 3110,ſeine ſache ordenote,,sine Sache geordenote,,,,,
4347,an sinem bette er gelach,an ſeinem pette er lak,,an sinem bette er lac,,,,,
4348,der elliv herze wol mach,der got d#aer+ alle herze mak,,der got der alle herczen mac,,,,,
4349,non sorgen belosen,von ſorgen gefreien,,von sorgen wol gevrilen,,,,,
4350,derne wolte den frödelosen,,,,,,,,
4351,ν den reinen brutdegen 3115,,,,,,,,
4352,,d#aer+ wolt den kneht ſeinen,,der wolte den diner sinen,,,,,
4353,niht lazzen underwegen,niht #f46r+ lazzen vnd#aer+ wegen,,nicht lazen underwegen ,,,,,
4354,,er hiez in kvnden ſeinen ſegen,,er hiz im kundigen sinen sogen,,,,,
4355,sinen engel er im sande,ein engel ſant er dar,,einen engel den i er sande,,,,,
4356,der in des gütliche ermande,,,,,,,,
4357,35 waz er tûen scholde,,,,,,,,
4358,ν wes got beginnen wolde 3120,,,,,,,,
4359,Der engel im do zusprah,,,,,,,,
4360,hingelêit ist din ungemah,,,,,,,,
4361,,da er Ioſeph wart gewar,,,,,,,
4362,,,,der vlaug vil ilende,,,,,
4363,,,,in di kemenaten ,,,,,
4364,,,,kundige und raten,,,,,
4365,,,,wolte er im daz beste,,,,,
4366,,,,e er in mwachende weste,,,,,
4367,,er wakte in alſo ſchone,,do wactG er iu also schone,,,,,
4368,,d#aer+ gotes pote frone,,'d'' I gewaltige bete vrone',,,,,
4369,,#rD+er ewang#aeli+ſte ſaget daz,,der ewangelista sagte daz,,,,,
4370,,daz nie herren wurde baz,,da« nie herre wurde baz,,,,,
4371,,von trouren enbunden,,von troume enpunden,,,,,
4372,,ſam Ioſeph ze den ſelben ſtunden,,,,,,,
4373,,,,wir I mugen daz Urkunde,,,,,
4374,,,,an der messe wol hören,,,,,
4375,,,,so di prstere singen horen,,,,,
4376,,#rD+er engel ſprach z#svo+ dem manne,,Der engel sprach zu dem manne,,,,,
4377,,dein ſorge iſt vnder vangen,,'''din vorchte 1 ist untervangen',,,,,
4378,Iosep kint Dauit,#rI+oſeph fili dauid,,ioseph fili david,,,,,
4379,din schepfoere dir den trost git,din ſchepfer dir troſt geit,,din scheppfer dir den trost gid,,,,,
4380,war woltesta gahen? 3125,war woldeſt dv helt gan,,war weites du hine gaben,,,,,
4381,du sholt wider enpfahen,ia ſolt dv wider enpfan,,ia scholtu wider enpfahen,,,,,
4382,din gemaheln réine,dine gemahelen raine,,dine gemaheln reine,,,,,
4383,langer du nien wêine,lenger niht enwaine,,nicht langer du enweine,,,,,
4384,40 sie ist ob allen wiben,,,si ist ob allen wiben ,,,,,
4385,y mfiz iemer beliben 3130,,,,,,,,
4386,muter unde m seit here,,,,,,,,
4387,got lihet ir die ere,,,,,,,,
4388,,dv ſolt endelichen,,,,,,,
4389,,wizzen ſich#aer+lichen,,,,,,,
4390,,,,dir endarf euch an irm übe,,,,,
4391,,,,nicht misseleide,,,,,
4392,daz scholtu wol gelöben,,,du schalt des voUeclich glouben,,,,,
4393,daz allez ir tògen,daz alle ir toug#aen+,,daz alle ire tougen,,,,,
4394,,ſint ane long#aen+,,,,,,,
4395,ron dem heiligen geiste chumet 3135,von dem heiligen geiſte chomen,,von deme heiligen geiste sint bekomen,,,,,
4396,der ie reht v gnade frumet,,,,,,,,
4397,,ir iſt niht benomen,,,,,,,
4398,,ir reine chevſcheit,,,,,,,
4399,,ſi iſt ein raine mait,,,,,,,
4400,,,,ir kusche wirt ur nicht benumen,,,,,
4401,,v#and+ m#svo+z immer magt ſein,,si muz im mer maget sin,,,,,
4402,,da von t#suo+ din ere ſchein,,,,,,,
4403,,,,nu laze daz gut wesen sin,,,,,
4404,,wan ſey got erwelt hat,,daz I dich got erweit hat,,,,,
4405,an den togenlichen rat,z#svo+ dem toug#aen+lichen rat,,an den tougenliche rat,,,,,
4406,sin gute dich erweit hat,,,,,,,,
4407,nu dien ir mit stsetem mute,,,,,,,,
4408,ν habes in lieber hüte 3140,,,,,,,,
4409,wan der sun den sie bringet,,,,,,,,
4410,den tievil er betwinget,,,,,,,,
4411,,,,dine ur immer gerne,,,,,
4412,,,,mit vlize und mit ercn,,,,,
4413,,,,als I du seist ur eigen,,,,,
4414,,,,des enschaltu nicht gewei gern,,,,,
4415,,den ſun den ſi gewinnet,,den sun den si gewinnet,,,,,
4416,,v#and+ in die w#aer+lt bringet,,und in di werlt brin get,,,,,
4417,Iesvs wirt er genant,d#aer+ wirt geheizzen #aihesus+,,der wirt gcheizen ihc,,,,,
4418,daz kivt ein heilant,,,,,,,,
4419,5 wand er die werlt haeilet 3145,,,,,,,,
4420,div mit sunden ist gemaeilet,,,,,,,,
4421,uon der helle furet er die,,,,,,,,
4422,di sinen willen taten hie,,,,,,,,
4423,der himel ist im undertan,,,,,,,,
4424,ze sinem gebot muz er stan 3150,,,,,,,,
4425,,die ſunde chan er ſus,,di sunde kan er alsus,#fE2r+ […] al ſus,,,,
4426,,leſchen v#and+ ſwen#aden+,,lesschen und swenden,leſken und ſwenden,,,,
4427,,den chriſten ellenden,,,,,,,
4428,,,,daz di lutc mak gescheijden,daz die lute niht mac geſchenden,,,,
4429,,,,des tuvols ruge und sin clage,,,,,
4430,,,,an dem iungisten tage,,,,,
4431,,,,,deſ tievels getat,,,,
4432,,,,,wan d#aer+ gwalt inſiner hant ſtat,,,,
4433,,,,di warheit ich dir stelle,#iD+ie warheit ich dir zelle,,,,
4434,,,,er ledigz uns von der helle,er ledeget vz d#aer+ helle,,,,
4435,,,,di sinen willen haben getan,die ſinen willen hant getan,,,,
4436,,,,der himel ist in uf getan,der himel iſt ime vf getan,,,,
4437,ν allez dazter îe wart,alleſdaz d#aer+ ie wart,,und alliz daz da ie ge wart,allez daz da ie wart,,,,
4438,daz ist gesegent vnt bewart,daz iſt in ſin#aer+ h#suo+t bewart,,daz ist geseinet und bewart,daz iſt geſegent v#and+ bewart,,,,
4439,uon siner magenchrefte,v#aon+ ſiner maiſterſchefte,,von I siner mankrefte,von ſin#aer+ magenkrefte,,,,
4440,ν mit der herschefte,v#and+ reht#aer+ hêrſchefte,,und mit der herschefte,v#and+ mit da#er+ herſchefte,,,,
4441,die niemen kan uerenden 3155,,,,,,,,
4442,,d#aer+ nimmer wirt ende,,der nimmer wirt ein ende,d#aer+ niemer wirt ende,,,,
4443,'dar scholtu din dienest wenden''',da von deinen #f46v+ dienſt im wende,,da mahtudin dinst wol bewendc,da mah dv din dieniſt wol gewenden,,,,
4444,Ioseph der vil einualte,#rI+oſeph d#aer+ einvalte,,Ioseph der einvalte,#rI+oſeph d#aer+ einvalte,,,,
4445,niht langer er entwalte,niht lenger er entwalte,,nicht lenger er enwalte,langer niht en twalte,,,,
4446,sin frode wart erhaben,ſein frevde wart vil michel,,sin I vreude wart so michel,ſin vr#sov+de war#zt+ ſo miche[...],,,,
4447,sin herze sa entladen 3160,,,,,,,,
4448,uon sorgen die er haete,,,,,,,,
4449,do bot er sih drate,,,,,,,,
4450,unser froen ze fuzzen,,,,,,,,
4451,,ia waz er worden ſicher,,io was er worden sicher,[...]ſ w[...]den ſicher,,,,
4452,,von allem vngem#sue+te,,vor allem ungemüte,v[...]ngemvte,,,,
4453,,von des engels g#sue+te,,von des engeis gute,mit deſ [...]gels gvte,,,,
4454,,die wunder hiez er ſchreiben,,di I wunder hiz er scriben,dv wnder hiez er ſchriben,,,,
4455,,ſeiner gemahel ſant marien,,unser vrouwen sant ma rien,ſante MaRien,,,,
4456,,erbot er ſich ze den fuezzen,,bot er sich zu fuzen,bot er ſich ze fuzen,,,,
4457,er sprah wie wol mir müzzen,er ſp#ara+ch wie mich mvezzen,,er sprach wi wol mich muzen,er ſp[...]ch wie wol mich mvzen,,,,
4458,15 min sunde stan ze rivwe 3165,die ſunde imm#aer+ riwen,,di sunde immer ruwe,die ſunde iemer riwen,,,,
4459,daz ich die missetrivwe,daz ich miſſe triwe,,daz ich dich misseltruwe,d[...] die miſſetruwe,,,,
4460,uf dinen lip ie gewan,#sov+f dein#aen+ leib ie gewan,,uffo dinen lip ie gewan,[...] lip ie gwân,,,,
4461,umbe dehein irdisken man,gen denhein#aen+ yrdiſchen man,,umme keinen …,vmbe dehainen [...],,,,
4462,der engel mich bewiset hat,der engel mir geſagt hat,,,der engel mir geſeît hat,,,,
4463,wie ez umb dih fröe stat 3170,wie ez vrowe vm dich ſtat,,,wiez umbe dich kuneginne ſtat,,,,
4464,du bist ein insigele,,,,#iD+v biſt ein inſigele,,,,
4465,des keisers uz dem himele,,,,deſ keiſerſ von himele,,,,
4466,der dih hat gemaehelot,,,,der dich #zhat+ gema#dc+helot,,,,
4467,'durh aller aundasre not''',,,,umbe aller ſundare nôt,,,,
4468,Div m seit sih fröen began 3175,,,,,,,,
4469,ir s sel de die sah sie an,,,,,,,,
4470,sie wesse wol die gnade frone,,,,,,,,
4471,do neik sie im also schone,,,,,,,,
4472,der sie geschuof ze den eren,,,,,,,,
4473,an sin lop begunde siecheren 3180,,,,,,,,
4474,bediv zunge ν ir sinne,,,,,,,,
4475,sie sprah  ia mak div gotes minne,,,,,,,,
4476,an mir wol uolbringen,,,,,,,,
4477,als ich han gedingen,,,,,,,,
4478,,der magede herze ſich erh#suo+b,,,d#aer+ magede herce ſich er h#svo+p,,,,
4479,,ſi weſſe wol daz ſi tr#suo+k,,,ſv weſte wol daz ſv trvc,,,,
4480,,den troſt aller heiligon,,,den troſte aller hailigen don,,,,
4481,,des ſeit ſi got dank v#and+ lon,,,ſv ſeite danc v#and+ lon,,,,
4482,,d#aer+ potſchfte frone,,,der boteſchefte frônne,,,,
4483,,hinz himel naik ſi ſchone,,,ze himele neic ſv ſcone,,,,
4484,,durch vil manik zaichen,,,dvrch dv manegen zaichen,,,,
4485,,die zeher begunden waichen,,,die zahere begunden waichen,,,,
4486,,ir bruſt vnbewollen,,,ir bruſte vnbewollen,,,,
4487,,ſi ſp#ara+ch ia mak ervollen,,,ſv ſp#ara+ch io mac er vollen,,,,
4488,,vnſer herre vil wol,,,,,,,
4489,,des ich imm#aer+ weſen ſol,,,,,,,
4490,25 swaz er gebivtet ν wil 3185,ſwaz er gebevtet v#and+ wil,,,ſwaz er gebutet v#and+ wil,,,,
4491,'er git mir mandunge vil''',er mak mir genade geben vil,,,er gît mandunge vil,,,,
4492,Die zu der rede quamen,,,,,,,,
4493,,#rD+ie in daz h#sov+s chamen,,,,,,,
4494,,,,,#iD+ie indeme hvſe waren,,,,
4495,do si daz wnder uernamen,v#and+ diſe rede v#aer+namen,,,do ſie die rede v#aer+namen,,,,
4496,,alt v#and+ ivnge,,,alte v#and+ iunge,,,,
4497,,zeſamen ſi ſprungen,,,ze ſamæne ſie #fE2v+ ir ſprungen,,,,
4498,starke lobten sie den heilant,v#and+ lobten den hailant,,,ſi lobent den hailant,,,,
4499,der sine zeswen hant 3190,d#aer+ ſeine zeſewe v#and+ ſeine hant,,,der ſine zeſuwen hant,,,,
4500,hete gerihte über sie,het gepraitet vber ſie,,,hete ge rihtet ub#aer+ ſie,,,,
4501,grozer fròde diu wart nie,me#f47r+rer frevde div wart nie,,,grozer vr#sov+de wart nîe,,,,
4502,under einem gesinde,,,,,,,,
4503,uon der muter v dem kinde,,,,,,,,
4504,,an den b#suo+chen geſchriben,,,an den bvchen geſcriben,,,,
4505,,ſi begunden ane digen,,,ſi be gunden in alle an dingen,,,,
4506,,christeſ ſagerere,,,kriſtes ſagare,,,,
4507,30 div riehen niwe märe 3195,die ſtarken niwe mere,,,dv ſtarken nvwen mare,,,,
4508,die musen sie furware,,,,,,,,
4509,uor grozer liebe bewêinen,,,,,,,,
