Meisterzählung,D,A,B,C,E,F,G,W,Notizen
3033,dannen d#siv+ guten wip ſint,von dem alle vrowen ſint,,da von alle wip ſint,,,,,
3034,geſæliget #avnd+ gesegenot,gezieret v#and+ geſegenot,,geziret vnd geſegenot,,,,,
3035,daz die ſiden grune #avnd+ rot,daz ir ſeiden gr#sve+ne v#and+ rot,,daz ſi di ſyden gr#sue+n vnd rot,,,,,
3036,in ir han#lde+n beliben 2285,in ir handen beliben,,in irn hanten bliben,,,,,
3037,alſo wolte ſie geſigen,alſo ſach m#aan+ ſei ge ſigen,,alſo wolte ſi geſigen,,,,,
3038,daz die an#lde+rn næmen den hare,,,daz di and#aer+n ſpunn#aen+ d[...] har,,,,,
3039,div vil wenigiv ſchare,daz div ander ſchar,,di uil wenige ſch[...],,,,,
3040,,m#suo+ſte ſpinnen den har,,,,,,,
3041,d#siv+ enlîe daz niht ane nit,daz beleip niht ane neit,,di enliz daz nicht ane nit,,,,,
3042,daz wart #sov+h in uerwîzzeN ſit 2290,,,,,,,,
3043,,daz ver waiz in der engel ſeit,,,,,,,
3044,,,,d#aer+ engel #du+in daz ſeit,,,,,
3045,daz ſie durh unminne,daz ſi den hein vn minne,,daz ſi durch ir minne,,,,,
3046,hiezzen ſie ir kunjginne,heten gen der kvniginne,,ſi hizen kuneginne,,,,,
3047,div uon rehten ſchulden,wan ſi von rehter ſchulde,,wanne ſi von recht#aen+ ſchulde#dn+,,,,,
3048,#?d+ waſ in gotes hul#lde+n,hete goteſ hulde,,hette gotis hulde,,,,,
3049,#avnd+ d#siv+ der eren chrone treit 2295,,,,,,,,
3050,iemer mvt#aer+ vn#lde+ meit,,,,,,,,
3051,Der engel der daz himelbrot,der engel der die ſpeiſe,,d#aer+ engel d#aer+ di ſpiſe,,,,,
3052,tæglichen ir zetiſke bot,,,,,,,,
3053,,ovz dem fronen paradeyſe,,uz dem vronen paradyſe,,,,,
3054,,ſant mareien brahte,,ſente marien brachte,,,,,
3055,do er anden ſchimpf gedahte,als er an den ſchimpf gedahte,,do er anden ſchinph gedachte,,,,,
3056,den die magede heten un#lde+r in 2300,den ſi heten vnder in,,den di megde hatten vnd#aer+ in,,,,,
3057,#lde+n ſchimpf er zeerneſt brahte,,,,,,,,
3058,er began ſchreken ir ſin,er wolte erſchrechen ir ſin,,er wolte erſchreken irn ſin,,,,,
3059,enallen gahes er erſcheine,in allen #f37r+ er erſchain,,vn allen er d#aer+ſchein,,,,,
3060,lieht als der tak gemeine,lieht als ein goltzain,,licht als d#aer+ golt ſtein,,,,,
3061,er ſprah ez iſt ein wiſſagen 2305,er ſp#ara+ch ich wil ev ſagen,,er ſprach ich wil uch wiſſage,,,,,
3062,daz ir ze ſpotte wellet haben,die ir ze neide welt haben,,daz ir zuſpotte wolt habe,,,,,
3063,ir werdet des inne,ir werdet des wol innen,,ir w#aer+det des wol innen,,,,,
3064,daz maria keiſerinne,daz ſi keiſerinne,,daz ſi zu keiſerinnen,,,,,
3065,uber aldiſe werlt weſen m#suo+z ,al d#aer+ werlde weſen m#suo+z,,ub#aer+ alle di werlt weſen m#sue+z,,,,,
3066,ſo wirt iv des tuſkens p#suo+z 2310,ſo wirt evres neideſ p#suo+z,,ſo wirt ouch uch deſgetuſches b#sue+z,,,,,
3067,ſo ir geſehet vil gereite,,,ſo geſeht ir uil gereit,,,,,
3068,die unverborgen warheite,,,di gerechten warheit,,,,,
3069,die #f41v+ fr#sov+en harte erſchrikten,,,,,,,,
3070,do ſie den engil an erblikten,,,,,,,,
3071,#avnd+ ſinen zorn erſahen 2315,,,,,,,,
3072,mit uorhten ſie iahen,,,,,,,,
3073,,do forhten #dd+Si div rache,,do vorchten ſi d#aer+ rache,,,,,
3074,,mit zuhten ſi ſp#ara+chen,,mit zuchten ſi ſprachen,,,,,
3075,ſie wolten wandeln vnd buzzen,ſi wolten ez gerne p#sue+zzen,,ſi wolten ez gerne b#sue+zen,,,,,
3076,#avnd+ butten ſih der guten zefuzzeN,v#and+ puten ſich z#svo+ ir fvezzen,,ſi buten ſich zud#aer+ kuneginne f#sue+zen,,,,,
3077,#iN+u horet liebe die ſage,#rN+v horet diſev ſage,,#iN+#rV+ horet liben diſe ſage,,,,,
3078,andem an#lde+rn tage 2320,an dem andren tage,,andem and#aer+n tage,,,,,
3079,d#siv+ kamer #lde+s waren ſ#suo+nne,,,di kamerer des ſunnen,,,,,
3080,,div vrowe der ſunnen,,,,,,,
3081,div gie zu ir brunne,gienk z#svo+ einem brunnen,,di gink zu ir brunnen,,,,,
3082,andes houes ende,an deſ houeſ ende,,an des houes ende,,,,,
3083,vnt #lde+#?swo+ch ir reine hen#lde+,do tu#suo+k ſi ir hende,,vnd twuc ire uil reine hende,,,,,
3084,do ſie ein wile da geſaz 2325,aller æren lieht vaz,,aller truwen ein licht uaz,,,,,
3085,aller tr#siv+wen liehtuaz,do ſi eine weile da geſaz,,do ſi eine wile da gewas,,,,,
3086,unt an#lde+rs niemen bi ir was,v#and+ and#aer+ nieman da waz ,,vnd and#aer+s nimant da enwas,,,,,
3087,#?z+ein engel lvter ſam daz glas,ein engel louter als ein glas,,ein engel lutter ſam ein glas,,,,,
3088,mit grozer gute beuangen,,,,,,,,
3089,#f42r+der chom zu ir gegangen 2330,der chom z#svo+ ir geſlichen,,d#aer+ kom zu ir geſlichen,,,,,
3090,#avnd+ bat ſie weſen ân leide,,,,,,,,
3091,,er bat ſey weſen ſicher,,er bat ſi weſen ſicher ,,,,,
3092,,vor aller ſlahte laide,,vor allerſlachte leide,,,,,
3093,gnade fr#sov+de #avnd+ wêide,frevde v#and+ weide,,vreude vnd weide,,,,,
3094,wolte got mit ir geb#aen+,v#and+ ewigeſ leben,,vnd daz ewige leben,,,,,
3095,#avnd+ daz ewîge leben,daz wolde got von ir geben,,daz wolte got von ir geben,,,,,
3096,aller werlte daz ſcholte ſie gl#sov+ben 2335,,,,,,,,
3097,er ſaget ir#?d+ uon #lde+n gotes t#sov+gen,,,,,,,,
3098,daz ir ſchiere chome ein lieht,,,,,,,,
3099,,,,teile vnd ſpende,,,,,
3100,,,,[...]n arm#aen+ enelenden,,,,,
3101,,,,di der tuvel hatte u#aer+raten,,,,,
3102,,er ſp#ara+ch ez m#suo+ſte chomen ein lieht,,er ſprach ez muz kum#aen+ ein licht,,,,,
3103,daz lange in#lde+r vinſter niht,daz moht in der vinſter niht,,daz enmochte h#aer+ inder vinſter nicht,,,,,
3104,mæhte ſin uerborgen,lenger ſein verborgen,,leng#aer+ ſin v#aer+borgen,,,,,
3105,ſie w#^æ+re div alle ſorgen 2340,ſi were an alle ſorge,,ſi were di alle ſorge,,,,,
3106,mit der barmunge ole,mit dem #soe+le der barmunge,,mit deme oley d#aer+ barunge,,,,,
3107,lin#lde+n begun#lde+ #avnd+ ſenften wôle,,,linderen begunde,,,,,
3108,ſie wære div die ellenden,,,,,,,,
3109,wi#lde+r h#?z+eim ſcholte ſenden,,,,,,,,
3110,zu ir rehtem uaterlande 2345,,,,,,,,
3111,danne ſie mit #lde+r ſunden bande,,,,,,,,
3112,#?k+omen uon #lde+s tieuilſ rate,,,,,,,,
3113,,lieben ir ſein rede begunde,,,,,,,
3114,do ſie aller gerniſte hæte,do ſi aller gerniſt,,do ſi aller geruſte,,,,,
3115,der re#lde+ gehoret me,,,,,,,,
3116,der engel der mit ir e 2350,,,,,,,,
3117,ſprachte #avnd+ bi ir ſtunt,,,,,,,,
3118,er uerbarg #sov+gen vnde munt,,,,,,,,
3119,ſin antlutze ioh den ſchîn,,,,,,,,
3120,alſo ſpilt er mit der kvnigin,,,,,,,,
3121,alſ man pfleit mit den kinden 2355,,,,,,,,
3122,daz ſie ſin niht chunde vinden,,,,,,,,
3123,des began ſie wn#lde+ren ſere,,,,,,,,
3124,un#lde+ iedoh des dinges mere,,,,,,,,
3125,daz er hete ir furgeleit,,,,,,,,
3126,uon der chumftigen warheit 2360,,,,,,,,
3127,,von geiſtlichem liſt,,von geiſtlichen liſten,,,,,
3128,,mit ime ge reit hête,,m#zt+ um geredet hette,,,,,
3129,,do barik er ſein gew#^æ+te,,do u#aer+warf er ſin gewete,,,,,
3130,,pede ougen v#and+ munt,,beide ougen vnd munt,,,,,
3131,,daz ſi in z#svo+ der ſelben ſtunt,,das ſi in and#aer+ ſelben ſtunt,,,,,
3132,,mohte ſehen wêder vind#aen+,,nicht [...],,,,,
3133,,#f37v+ Suſ ſpilt er mit dem kinde,,,,,,,
3134,,des nam ſey michels wunder,,,,,,,
3135,,ſi het ez gerne erfunden,,,,,,,
3136,d#siv+ re#lde+ duhte ſie zetîef,div rede douhte ſey zetief,,,,,,,
3137,ir herze dar under nien ſlîef,,,,,,,,
3138,ſie gedahte waz er meinete,,,,,,,,
3139,#avnd+ daz erz baz beſcheinete,,,,,,,,
3140,des wolte ſie in gerne biten 2365,,,,,,,,
3141,ſo er nah ſinen ſiten,,,,,,,,
3142,,ir gedanche ſchriben einen brief,,,,,,,
3143,,in des herzen tolde ,,,,,,,
3144,,ſi gedahte daz ſi wolde,,,,,,,
3145,,ze einem anderm male,,,,,,,
3146,,den liehten engel vragen,,,,,,,
3147,,ob er ſi hete ſo bechort,,[...]kort,,,,,
3148,,daz er ver læzzenliche wort,,,,,,,
3149,,z#svo+ ir geſprochen hete,,,,,,,
3150,,ſi dahte ob ſiz gelebte,,,,,,,
3151,anderſtunt zu ir kame,daz er dar widere qu#^æ+me,,daz er dar wid[...]queme,,,,,
3152,daz ſie siN ein ende uernæme,daz ſi ſein antwurtte n#^æ+me,,daz ſi ſin ein ende neme,,,,,
3153,#f42v+ #iH+ie gat ez an den erneſt,Hie get ez an einen erniſt,,#iH+ie get ez anden ernſt,,,,,
3154,nu m#suo+get ir aller gerneſt 2370,nu mvgt ir aller gerniſt,,nu mugt ir aller gernſt,,,,,
3155,mit liebe #avnd+ willigen oren,,,,,,,,
3156,,ewer h#aer+ze h#soe+hen,,uwer h#aer+cze heben,,,,,
3157,die fvzzen rede horen,die ſemften rede horen,,di ſenften rede horen,,,,,
3158,#avnd+ daz aller beſte m#^æ+re,daz aller beſte m#^æ+re,,daz aller beſ[...],,,,,
3159,daz #lde+heinem ſund#^æ+re,daz dem ſundere,,,,,,,
3160,ie wart gechundet 2375,wart ie gekvndet,,,,,,,
3161,ſit adam was uerſchundet,ſeit Adâm wart verſchundet,,,,,,,
3162,#?E+in burch he#?i+zet nazaret,Ein burk heizzet Nazareht,,,,,,,
3163,in einer gegen#lde+ ſie ſtet,in einer gegent ſi ſtet,,,,,,,
3164,d#siv+ genant iſt galilea ,div heizzet Galilea,,,,,,,
3165,unſer fr#sov+e div was da 2380,vnſer vrowe div waz da,,,,,,,
3166,aller t#suo+gende gimme,,,,,,,,
3167,,div himiliſchiv kvniginne,,,,,,,
3168,ſie hete hûs dar inne,div hæte hous da inne,,,,,,,
3169,nv was #sov+h kom#aen+ div zit,,,,,,,,
3170,daz got des viandeſ nit,,,,,,,,
3171,niken wolte an uns #f43+ armen 2385,,,,,,,,
3172,vnd ſich ſcholte erbarmen,,,,,,,,
3173,uber alle ſin #zhant+ getat,,,,,,,,
3174,do wart erwelt uon ſinem rat,,,,,,,,
3175,,do het verzurnet der reiche got,,,,,,,
3176,,vn#lde+ wolte vber der werlte not,,,,,,,
3177,,vb#aer+ vns vil armen,,,,,,,
3178,,ſich genedichlich erbarmen,,,,,,,
3179,,v#and+ die helle zeſtoren,,,,,,,
3180,,er erwelte #sov+z ſeinen choren,,,,,,,
3181,z#suo+ der fronen botſchaft,z#svo+ ſiner botſchaft,,,,,,,
3182,ein engel der die chraft 2390,einen engel d#aer+ die kraft,,,,,,,
3183,v#and+ die gnade ſiner gotheite,,,,,,,,
3184,der reinen bræhte #avnd+ furpreite ,,,,,,,,
3185,,ſein#aer+ gotheit,,,,,,,
3186,,#f38r+ z#svo+ der maget preit,,,,,,,
3187,Gabriel iſt er genant,der iſt geheizzen Gabriel,,,,,,,
3188,uon dem han wir in erkant,,,,,,,,
3189,der leuiathanes drozzen 2395,,,,,,,,
3190,mit dem cruce hat beſlozzen,,,,,,,,
3191,,die goteſ kraft chvndet er,,,,,,,
3192,do fur er froliche,er f#suo+r fr#soe+lich,,,,,,,
3193,uz dem himelriche,ovz dem himelreich,,,,,,,
3194,nider zuder er#lde+,nider z#svo+ der erden,,[...]erden,,,,,
3195,da d#siv+ gotes werde 2400,er vant die goteſ werden,,er vant di gotis w#aer+den,,,,,
3196,ſaz in einer keminaten,in einer keminate,,in einer kemenat#aen+,,,,,
3197,mit ſuzzem werche beraten,,,,,,,,
3198,,dar in gienk er drate,,darin ſo gink er drate,,,,,
3199,die chleinen ſiden ſie ſpan,vil chleine ſeiden ſi ſpan ,,di cleinen syden ſi ſpan,,,,,
3200,die ſie anme lozze gewan,die ſi an dem lozze gewan,,,,,,,
3201,do die anderen den hâre 2405,,,,,,,,
3202,muſen ſpinnen furwâre,,,,,,,,
3203,,do ander daz geſinde,,,,,,,
3204,,den har m#suo+ſe ſpinnen,,,,,,,
3205,alſo michel waſ der glaſt,Alſo michel wart der glaſt,,,,,,,
3206,den der engeliſche gaſt,den der engliſche gaſt,,,,,,,
3207,uon gotes #sov+gen brahte,von gotes augen brahte,,,,,,,
3208,daz d#siv+ maget ſih uberdahte 2410,daz div mait ſich vberdahte,,,,,,,
3209,,ir leip erchom ſo harte,,,,,,,
3210,,ſi begunde in ane warten,,,,,,,
3211,,mit vil micheler vorhte,,,,,,,
3212,#avnd+ daz werch daz ſie da worhte,daz werk daz ſi worhte,,[...] ſi da worchte,,,,,
3213,daz lie ſie uon g#?aro+zer uorhte,,,,,,,,
3214,ſlifen uz den handen,daz ſlaif ir ovz der hant ,,daz ſleich ur uz den henden,,,,,
3215,des poten ſie niht erchande,des poten ſi niht erkant,,des boten ſi nicht enkande,,,,,
3216,der ſorgen er ir gebuzte 2415,der vorhte er ir gep#suo+zte,,di vorchte er ur gebuzte,,,,,
3217,nu horet #^w+ie er ſie grûzte,nv horet wie er ſei gr#suo+zte,,nu horet wi er ſi gruzte,,,,,
3218,Aue got gruzzet dih marie,,,,,,,,
3219,d#siv+ uon allem meile #zbiſt+ frie,,,,,,,,
3220,aller gna#lde+n biſtu uol,,,,,,,,
3221,wan crhiſt uon dir kom#aen+ ſchol 2420,,,,,,,,
3222,unſer herre iſt mit dir,,,,,,,,
3223,er minnet dih daz gl#sov+be m#?d+ir,,,,,,,,
3224,,Aue Maria ,,ave marie,,,,,
3225,,die deine wambe freya,,di dine bruſte vrie,,,,,
3226,,die wil got beſitzzen,,di [...],,,,,
3227,,mit geiſtlicher hitzzen,,,,,,,
3228,,ein vollev genade dv biſt,,,,,,,
3229,,ia wil der himiliſche chriſt,,,,,,,
3230,v#and+ hat dih darzu erchorn,von dir w#aer+den geborn,,,,,,,
3231,daz er uon dir werde geborn,dar z#sve+ hat er dich erchorn,,,,,,,
3232,bi dir wil er beliben 2425,er wil bei dir beleiben ,,,,,,,
3233,geſegent#siv+ ob allen #f43v+ wiben,,,,,,,,
3234,dir niget ſwaz ſih chan uerstân,,,,,,,,
3235,,du piſt ob allen weiben,,,,,,,
3236,,geſegenet v#and+ geweihet,,,,,,,
3237,,wan dir alleſ daz neiget,,,,,,,
3238,,daz ſich kan v#aer+ſtân,,,,,,,
3239,du ſcholt ze brutbette gan,dv ſolt zebroubette gan,,,,,,,
3240,in dem himele obene,in dem himele ebene,,,,,,,
3241,des wir#lde+s tu ze lobene 2430,des wirſt dv #f38v+ zelobene,,,,,,,
3242,Div maget begun#lde+ denchen,Div maget begunde denk#aen+,,,,,,,
3243,d#siv+ ovgen ni#lde+r ſenchen,die augen nider ſenken,,,,,,,
3244,ſie nam ez in ir ahte,,,,,,,,
3245,wie daz werden mæhte,,,,,,,,
3246,#avnd+ wîe dem gruzſal w#^æ+re 2435,,,,,,,,
3247,trurik ſtunt div gew#^æ+re,,,,,,,,
3248,,ſi mohte niht betrahten ,,,,,,,
3249,,noch envollen ge ahten,,,,,,,
3250,,wie dem gr#sve+zzen mohte ſein,,,,,,,
3251,,tr#sov+rik ſt#suo+nt daz magedein,,,,,,,
3252,der engil troſt ſie aue ſa,#rD+er engel troſte ſey aber ſa,,,,,,,
3253,din ſorgen du uerla,dine ſorge du v#aer+la,,,,,,,
3254,beſte aller wibe,,,,,,,,
3255,,geſegent biſtu vor allem weibe,,,,,,,
3256,got hat in din#aem+ libe 2440,got hat in deinem leibe,,,,,,,
3257,im erwelt ein ſal,im erwelt einen ſal,,,,,,,
3258,du ſcholt #lde+r werlte ub#?aer+al,dv ſolt der werlde vber al,,,,,,,
3259,bringen einen ſun,ſchiere pringen einen ſvn ,,[...] einen ſvn,,,,,
3260,der in gna#lde+ mak getuN,der in wil genade t#suo+n,,d#aer+ ur gnade wil tvn,,,,,
3261,#f44r+ er wirt genant emanuel 2445,Er wirt gehaizzen Emanuel,,er wirt geheizen emanuel,,,,,
3262,#avnd+ der heilant iſrahel,,,,,,,,
3263,,den hein m#suo+ter gebirt nimmer me,,kein mut#aer+ gebirt nimma#er+ mer,,,,,
3264,,den heinen ſvn ſo g#suo+ten,,keinen [...],,,,,
3265,,deſ entroure niht dein gemvete,,,,,,,
3266,#iD+iv maget die vorhte uerlie,#rD+iv magt die vorhte verlie,,,,,,,
3267,einen guten m#suo+t ſie geuie,ein baldes herze ſi gevie,,,,,,,
3268,ir ſelber kivſche ſie anſach,ir ſelbes chevſche ſi an ſach,,,,,,,
3269,zedem engel ſi do ſprah 2450,zvo dem engel ſi do ſp#ara+ch,,,,,,,
3270,ia ne han ich niht betrahte,,,,,,,,
3271,,ich kan mich niht ver ſehen,,,,,,,
3272,wie daz ergen mæhte,wie daz mvge geſchehen,,,,,,,
3273,daz ich kint geb#^æ+re,daz ich kint gebêre,,,,,,,
3274,#avnd+ iedoh maget w#^æ+re,v#and+ doch maget were,,,,,,,
3275,ich #zbin+ ſo komen andiſe ſtunt 2455,ich pin chom#aen+ an diſe ſtunt,,,,,,,
3276,daz mir iſt vil unkunt,daz mir iſt vil vnch#aun+t,,,,,,,
3277,mannes liebe #avnd+ geuerte,manneſ geverte,,,,,,,
3278,mit flizze ih mih #lde+s werte,mit fleizze ich mich deſ werte,,,,,,,
3279,#avnd+ #sov+h iemer gerne t#suo+n,als ich wil immer t#suo+n,,,,,,,
3280,wanne kome mir #lde+r ſun 2460,von wev chome mir der ſvn,,,,,,,
3281,des muz mih nemen wn#lde+r,,,,,,,,
3282,ſa antwrt#aen+ begunder,,,,,,,,
3283,du ſcholt neheines zwivels pflegen,,,,,,,,
3284,,den dv mir haſt gekundet,,,,,,,
3285,,wie ſere mich des wundert,,,,,,,
3286,,#rD+er engel ire #f39r+ antwurte ,,,,,,,
3287,,du ſolt an d#aer+ geburte,,,,,,,
3288,,den heineſ zweiveſ pflegen,,,,,,,
3289,wand der himeliſke ſegen,wan der himiliſche ſegen,,,,,,,
3290,unt der vil heilige geiſt 2465,v#and+ der heilige geiſt,,,,,,,
3291,der wirt des kindes uolleiſt,wirt deſ chindes volleiſt,,,,,,,
3292,des oberiſten tugent #avnd+ maht,,,,,,,,
3293,gezæiget dir wol die ahte,,,,,,,,
3294,,die tugende oberiſte,,,,,,,
3295,,zeigent dir die liſte,,,,,,,
3296,wie im daz mugliche ſi,wie ez mvgelich ſey,,,,,,,
3297,daz er dir alſo wone bj 2470,daz er dir wone bey,,,,,,,
3298,mit ſines geiſtes t#sov+we,mit ſeines geiſtes towe ,,,,,,,
3299,beſcâtewet er dih frowe,beſchat er dich vrowe,,,,,,,
3300,#avnd+ gefurdert dih darz#suo+,v#and+ furdert dich da z#svo+,,,,,,,
3301,iz wart geordent vil fr#suo+,ez waz ovch geordent fr#suo+,,,,,,,
3302,daz ez alſo ſcholte ergan 2175,,,,,,,,
3303,e div er#lde+ begun#lde+ ſtan,,,,,,,,
3304,#avnd+ #lde+r himel ſwebende wrde,,,,,,,,
3305,,daz ez alſo werde,,,,,,,
3306,,æ himel v#and+ êrde,,,,,,,
3307,,îe geſchaffen wurde,,,,,,,
3308,ſælich iſt div burde,ſelik iſt div purde,,,,,,,
3309,#avnd+ der wcher diner bruſte,daz w#suo+cher deiner pruſt,,,,,,,
3310,wan dih ſun#lde+n nie geluſte    24SO,,,,,,,,
3311,#iA+ls div rede waſ ergangen,,,,,,,,
3312,,an aller ſvnde geluſt,,,,,,,
3313,,#rA+ls er daz wort hete gechvndet,,,,,,,
3314,div fr#sov+e wart beuangen,div vrowe wart enzundet,,,,,,,
3315,#avnd+ erzunte mit rehtem gl#sov+beN,mit rehtem gelouben,,,,,,,
3316,#f44v+ ufhub ſie div #sov+gen,ovf h#suo+b ſi die augen,,,,,,,
3317,gein der himiliſken reſte,gen der himiliſchen reſte,,,,,,,
3318,ir gedinge was ſo u#?de+ſte,ir gedinge was ſo veſte,,,,,,,
3319,ſie ſprah mit diem#suo+te,,,,,,,,
3320,got gnade mir #lde+r g#suo+te,,,,,,,,
3321,,ſi ſp#ara+ch in ir gemuete,,,,,,,
3322,,got m#sve+zze mich beh#sve+ten,,,,,,,
3323,als ich dih herre hore iehen,als ich dich herre hore iehen,,,,,,,
3324,alſo m#suo+ze mir geſchehen 2190,alſo mvezze mir geſchehen,,,,,,,
3325,,al nach deinen worten,,,,,,,
3326,,wil ich genade warten,,,,,,,
3327,du biſt ez der bote frone,dv biſt der pote frone,,,,,,,
3328,nu geb er dir daz ewige lone,nv m#sve+zze dir der lone,,,,,,,
3329,#lde+r dih zemir ſante,der dich her hat geſant,,,,,,,
3330,#avnd+ min herze erkante,dem allev herze ſint erkant,,,,,,,
3331,do ſprah #lde+r engel amen 2495,#rD+o ſprach der engel amen,,,,,,,
3332,uon des gl#sov+ben ſamen,von des gelouben ſamen,,,,,,,
3333,wart ſie zehante ſwanger,wart ſi zeſte#rt+ ſwang#aer+,,,,,,,
3334,got enſûmet ez niht langer,#f39v+ got ſoumt ez niht langer,,,,,,,
3335,ia ilter zware,,,,,,,,
3336,durh die armen ſundære 2500,,,,,,,,
3337,die menniſkeit an ſih nem#aen+,,,,,,,,
3338,do mahte im wol gecemen,,,,,,,,
3339,d#siv+ herberge alſo reine,,,,,,,,
3340,ſin m#suo+ter #avnd+ mæit al eine,,,,,,,,
3341,der #^w+ite er niht uerlie 2505,,,,,,,,
3342,do er zu der #zenge+ gie,,,,,,,,
3343,,menniſch ze werden,,,,,,,
3344,,durch vnſ ovf der erden,,,,,,,
3345,der #lde+n himel uil groz,der den himel vil groz,,,,,,,
3346,#avnd+ die werlt ie beſloz,v#and+ al die w#aer+lt beſloz,,,,,,,
3347,#lde+r ſuchte im ein chleine ſtat,,,,,,,,
3348,dar hat er ſin gecelt geſat 2510,,,,,,,,
3349,#avnd+ wart doh geminnert nîe,,,,,,,,
3350,da in d#siv+ g#suo+te enpfie,,,,,,,,
3351,ſin gewalt ſtunt ebenriche,,,,,,,,
3352,ſin magenchraft ewîcliche,,,,,,,,
3353,ioh wart d#siv+ menniſkeit 2515,,,,,,,,
3354,gehohet uon der gotheit,,,,,,,,
3355,d#siv+ gotheit ungeſwachte,,,,,,,,
3356,die menniſkeit anerlachte,,,,,,,,
3357,do got menniſke wer#lde+n ruchte,,,,,,,,
3358,durh menniſk#aen+ #lde+n er ſuchte 2520,,,,,,,,
3359,er leit an fleiſkliche brunne,,,,,,,,
3360,durh allez man#?nes+ chunne,,,,,,,,
3361,daz er nah champfes ſite,,,,,,,,
3362,mit dem viande ſtrite,,,,,,,,
3363,,der chom mit voller ære,,,,,,,
3364,,z#svo+ der magt here,,,,,,,
3365,,da mit er zaiget,,,,,,,
3366,da wart #lde+r himel ge#f45r+næiget 2525,daz der himel was geneiget,,,,,,,
3367,als unſ div ſcrift zæiget,,,,,,,,
3368,z#suo+ der erde daz ergie,,,,,,,,
3369,do in unſer fr#sov+e umbevie,,,,,,,,
3370,mit mæitweſentem libe,,,,,,,,
3371,d#siv+ #^m+e wart ze #^w+ibe 2530,,,,,,,,
3372,ſie iſt mit #lde+r er#lde+ gemeinte,,,,,,,,
3373,zu der ſih alſus uereinte,,,,,,,,
3374,#lde+r himel ioh #lde+s himels wirt,,,,,,,,
3375,ſie iſt d#siv+ ân leit gebirt,,,,,,,,
3376,der engil fr#sov+#lde+ der werlte heil 2535,,,,,,,,
3377,maget ân en#lde+ m#suo+tir ane meile,,,,,,,,
3378,,z#svo+ yrdiſcher molden,,,,,,,
3379,,daz lieht waz vnbeſcholden,,,,,,,
3380,,in di vinſter gevarn,,,,,,,
3381,,doch ſeinen ſchein chvnde er bewarn,,,,,,,
3382,#iD+er wiſſagen herre,#rD+er weiſagen meiſter,,,,,,,
3383,hat bewâret daz uon verre,,,,,,,,
3384,,bewert mit ſeinem geiſte,,,,,,,
3385,alle ſine chnehte,daz ſeine knehte,,,,,,,
3386,heten uorgeſeit rehte 2540,geprediget heten rehte,,,,,,,
3387,nu fr#sov+et ſih eſayas,Nv frevte ſich eſayas,,,,,,,
3388,der ez wilen chundent was,daz er weilen chvndinde waz,,,,,,,
3389,,der maget vnbeſprochen,,,,,,,
3390,,der himel iſt entlochen,,,,,,,
3391,,da div kvnigine,,,,,,,
3392,,nv gebivtet inne,,,,,,,
3393,ſih fr#sov+et der kunich dauit,Sich frevt der kvnek dauid,,[...]uid,,,,,
3394,der #sov+ch daz urchunde git,,,,,,,,
3395,,ſo er an ir f#suo+zzen leit,,wanne er an uren ſuze glit,,,,,
3396,daz unſ uon ſinem chunne 2545,daz von ſeinem chunne,,daz von ſime k#aun+de,,,,,
3397,bechome ſolhe #^w+nne,,,,,,,,
3398,,iſt ſolich #^æ+r gervnn#aen+,,ſulche ere iſt v#aer+numen,,,,,
3399,#?^aa+ron mit ſiner gerte,#rA+aron mit ſeiner gertte,,aaron mit ſin#aer+ gerte,,,,,
3400,der lobet wol ir geuerte,lobt wol ir gevertte,,d#aer+ lobte wol ur geu#aer+te,,,,,
3401,wand er ſie uor dûtte,,,wanne er ſi vor d#sue+te,,,,,
3402,dem hebreiſkem lîvte 2550,,,den erhaften l#sue+ten,,,,,
3403,gedeon #lde+n ſchapære furtreit,,,,,,,,
3404,#lde+n daz nahtt#sov+ uermêit,,,,,,,,
3405,wand er ir #?z+ zaichen #?f+uret,,,,,,,,
3406,div nie wart beruret,,,,,,,,
3407,Die herren #lde+r alten e 2555,,,,,,,,
3408,waren ir wnſkente me,,,,,,,,
3409,#lde+nne lebens oder libes,,,,,,,,
3410,wand ſie des eriſten wibes,,,,,,,,
3411,val ſcholt undervahen,,,,,,,,
3412,die gna#lde+ ſie uor ſahen 2560,,,,,,,,
3413,des gerten ſie ie der ſuzzen,,,,,,,,
3414,daz got ruhte gr#suo+zzen,,,,,,,,
3415,die werlte mit ir geburte,,,,,,,,
3416,#avnd+ mit #lde+s kindes geinwrte,,,,,,,,
3417,nu ſint gewert fur#f45v+ware 2565,,,,,,,,
3418,die guten #avnd+ die ſundære,,,,,,,,
3419,die guten ir chrone,,,,,,,,
3420,iene #lde+r barmunge frone,,,,,,,,
3421,wand niemen iſt ſo ſvn#lde+riche,,,,,,,,
3422,wil er buzen herzekliche 2570,,,,,,,,
3423,im ſi #sov+ch gna#lde+ beſchert,,,,,,,,
3424,daz er dem tievil wirt erwert,,,,,,,,
3425,#lde+s haben wir manek urchunde,,,,,,,,
3426,uon ſin ſelbes munde,,,,,,,,
3427,der durh unſ iſt geborn 2575,,,,,,,,
3428,daz im nieman werde uerlorn,,,,,,,,
3429,niewan #lde+r da miſſetr#suo+wet,,,,,,,,
3430,#avnd+ den ſin ſchulde niht ger#siv+wet,,,,,,,,
3431,daz iſt d#siv+ fr#sov+de gemeine,,,,,,,,
3432,die unſ brahte d#siv+ maget reine 2580,,,,,,,,
